Epoch,Train Loss,Validation Loss
1,0.030636,0.029741
2,0.023901,0.023501
3,0.023264,0.023697
4,0.022532,0.023567
5,0.022364,0.022021
6,0.022092,0.022374
7,0.022025,0.022437
8,0.021931,0.021260
9,0.021868,0.021477
10,0.021888,0.021666
11,0.021770,0.022893
12,0.021582,0.021316
13,0.021598,0.021885
14,0.021698,0.021384
15,0.021753,0.020926
16,0.021511,0.020531
17,0.021340,0.021810
18,0.021660,0.021451
19,0.021413,0.021250
20,0.021317,0.020614
21,0.021374,0.021780
22,0.021404,0.019813
23,0.021398,0.021804
24,0.021141,0.021632
25,0.021210,0.021104
26,0.021010,0.021115
27,0.021034,0.021380
28,0.020902,0.020345
29,0.020922,0.020751
30,0.021067,0.020576
31,0.021093,0.022085
32,0.020965,0.020990
33,0.021000,0.021566
34,0.020898,0.021901
35,0.020933,0.021715
36,0.020963,0.020278
37,0.021025,0.022157
38,0.020929,0.020608
39,0.020959,0.021725
40,0.021034,0.021210
41,0.021018,0.020701
42,0.020876,0.021746
43,0.020932,0.021200
44,0.020905,0.022046
45,0.020930,0.021343
46,0.020899,0.021123
47,0.020814,0.021558
48,0.021006,0.021555
49,0.021031,0.020643
50,0.021024,0.020658
